Model;Manuf;Model Details;Year;Month;Motor Type_0;Motor Type_1;Transmission;Color;Body Type;Price;Mileage
Kia Sorento;Kia;Sorento;2006;Decembris;2,5;Dīzelis;Automāts;Melna;Apvidus;3400;
Citroen C4 Picasso;Citroen;C4 Picasso;2011;Augusts;1,6;Dīzelis;Manuāla 6 ātrumi;Sudrabametālika;Minivens;3399;200000
Nissan X-Trail;Nissan;X-Trail;2007;Februāris;2,2;Dīzelis;Manuāla 6 ātrumi;Brūnametālika;Apvidus;3390;245000
Kia Sorento;Kia;Sorento;2008;Jūlijs;2;Dīzelis;Automāts;Melna;Minivens;3390;250978
Kia Ceed;Kia;Ceed;2013;Janvāris;1,6;Dīzelis;Manuāla 6 ātrumi;Balta;Universāls;3390;333353
Hyundai i30;Hyundai;i30;2012;Decembris;1,4;Dīzelis;Manuāla 6 ātrumi;Sarkanametālika;Hečbeks;3390;
Hyundai Tucson;Hyundai;Tucson;2006;Marts;2;Benzīns;Manuāla 5 ātrumi;Gaiši;Apvidus;3370;251339
Toyota Auris;Toyota;Auris;2008;Oktobris;2,2;Dīzelis;Manuāla 6 ātrumi;Melnametālika;Hečbeks;3350;365100
Hyundai Terracan;Hyundai;Terracan;2003;;2,8;Dīzelis;Automāts 4 ātrumi;Zila;Apvidus;3350;232082
Kia Venga;Kia;Venga;2010;Novembris;1,4;Benzīns;Manuāla 5 ātrumi;Zilametālika;Hečbeks;3350;176850
Nissan Qashqai;Nissan;Qashqai;2009;Marts;2;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Apvidus;3350;
Kia Sportage;Kia;Sportage;2006;Jūnijs;2;Dīzelis;Automāts 6 ātrumi;Zilametālika;Apvidus;3350;
Honda Cr-v;Honda;Cr-v;2007;;2;Benzīns/Gāze;Manuāla 6 ātrumi;Pelēkametālika;Apvidus;3350;
Citroen Jumpy;Citroen;Jumpy;2007;;1,6;Dīzelis;Manuāla;Balta;Mikroautobuss;3335;
Hyundai i20;Hyundai;i20;2016;Septembris;1,1;Dīzelis;Manuāla 5 ātrumi;Oranžametālika;Hečbeks;3330;285000
Kia Ceed;Kia;Ceed;2012;Novembris;1,4;Benzīns;Manuāla 6 ātrumi;Brūna;Hečbeks;3321;247500
Toyota RAV 4;Toyota;RAV 4;2004;Novembris;2;Dīzelis;Manuāla 5 ātrumi;Melnametālika;Apvidus;3300;308000
Toyota Auris;Toyota;Auris;2008;;2,2;Dīzelis;Manuāla 6 ātrumi;Pelēka;Hečbeks;3300;355300
Toyota Yaris;Toyota;Yaris;2010;Janvāris;1,3;Benzīns;Manuāla 6 ātrumi;Sudrabametālika;Hečbeks;3300;182000
Kia Sportage;Kia;Sportage;2006;;2;Dīzelis;Manuāla;Melna;Apvidus;3300;275027
Hyundai Tucson;Hyundai;Tucson;2007;Septembris;2;Dīzelis;Manuāla 6 ātrumi;Melnametālika;Apvidus;3300;214575
Hyundai Santa FE;Hyundai;Santa FE;2006;Jūnijs;2,2;Dīzelis;Manuāla 5 ātrumi;Melna;Apvidus;3300;261477
Nissan X-Trail;Nissan;X-Trail;2005;Augusts;2,2;Dīzelis;Manuāla 6 ātrumi;Melnametālika;Apvidus;3300;268000
Citroen C3;Citroen;C3;2004;Marts;1,6;Benzīns;Automāts 5 ātrumi;Oranžametālika;Kabriolets;3300;66157
Lexus IS;Lexus;IS;2006;;2,5;Benzīns;Automāts;Baltametālika;Sedans;3300;
Nissan Qashqai;Nissan;Qashqai;2009;;2;Dīzelis;Manuāla 6 ātrumi;Melna;Apvidus;3300;352000
Toyota Corolla Verso;Toyota;Corolla Verso;2006;Oktobris;2,2;Dīzelis;Manuāla;Sudraba;Minivens;3299;262366
Nissan Murano;Nissan;Murano;2006;Decembris;3,5;Benzīns/Gāze;Automāts 6 ātrumi;Pelēka;Apvidus;3299;325539
Hyundai Santa FE;Hyundai;Santa FE;2006;;2,2;Dīzelis;Manuāla;Gaiši;Apvidus;3299;
Toyota Corolla Verso;Toyota;Corolla Verso;2008;;2,2;Dīzelis;Manuāla;Gaiši;Minivens;3295;
Citroen C5;Citroen;C5;2008;Jūlijs;2,2;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Universāls;3290;
Toyota Corolla;Toyota;Corolla;2011;Februāris;1,6;Benzīns/Gāze;Manuāla 5 ātrumi;Sudrabametālika;Sedans;3290;
Kia Sorento;Kia;Sorento;2007;;2,5;Dīzelis;Automāts;Tumši;Apvidus;3290;
Nissan Qashqai;Nissan;Qashqai;2008;Novembris;2;Dīzelis;Automāts;Melnametālika;Apvidus;3290;264000
Kia Cerato;Kia;Cerato;2007;Marts;2;Dīzelis;Automāts;Pelēkametālika;Minivens;3290;
